ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi,dif,dea,macd_hist,boll_up,boll_mid,boll_low,kdj_k,kdj_d,kdj_j
600900.SH,2025-07-04,30.06,30.29,30.01,30.16,30.09,0.07,0.2326,679228.05,2048728.031,,0.0,0.0,0.0,,,,,,
600900.SH,2025-07-07,30.24,30.28,30.07,30.26,30.16,0.1,0.3316,508278.48,1534745.747,,0.00797720797720558,0.001595441595441116,0.012763532763528929,,,,,,
600900.SH,2025-07-08,30.27,30.27,29.91,29.92,30.26,-0.34,-1.1236,1073286.01,3219638.664,,-0.012986258228426806,-0.0013208983693324683,-0.023330719718188675,,,,,,
600900.SH,2025-07-09,29.95,30.1,29.85,29.98,29.92,0.06,0.2005,670383.21,2011578.386,,-0.02447631000516637,-0.005951980696499249,-0.03704865861733424,,,,,,
600900.SH,2025-07-10,30.0,30.08,29.8,29.9,29.98,-0.08,-0.2668,947643.05,2835522.287,,-0.03958132139713655,-0.01267784883662671,-0.053806945121019675,,,,,,
600900.SH,2025-07-11,29.92,30.59,29.87,30.4,29.9,0.5,1.6722,1642154.79,4984368.453,,-0.011078622956119943,-0.012358003660525358,0.0025587614088108286,,,,,,
600900.SH,2025-07-14,30.42,30.79,30.4,30.61,30.4,0.21,0.6908,771547.17,2363137.312,,0.02813093990172888,-0.004260214948074511,0.06478230969960679,,,,,,
600900.SH,2025-07-15,30.61,30.68,30.35,30.48,30.61,-0.13,-0.4247,562461.57,1714077.283,,0.04815973199945134,0.00622377444143066,0.08387191511604136,,,,,,
600900.SH,2025-07-16,30.6,30.66,30.33,30.34,30.48,-0.14,-0.4593,386213.46,1174692.478,,0.0521348855574999,0.015405996664644508,0.07345777778571078,,,,54.54545454545454,54.54545454545454,54.54545454545455
600900.SH,2025-07-17,30.32,30.4,30.12,30.16,30.34,-0.18,-0.5933,614655.48,1855170.425,,0.04029621799691441,0.02038404093109849,0.03982435413163184,,,,48.484848484848484,52.525252525252526,40.40404040404039
600900.SH,2025-07-18,29.54,29.6,29.35,29.5,29.43,0.07,0.2379,601701.9,1774601.208,,-0.022087880154508355,0.01188965671397712,-0.06795507373697095,,,,35.79545454545452,46.9486531986532,13.48905723905716
600900.SH,2025-07-21,29.7,29.86,29.42,29.51,29.5,0.01,0.0339,778276.54,2301161.415,,-0.06991487579844602,-0.004471249788507508,-0.13088725201987703,,,,27.567340067340062,40.48821548821549,1.7255892255892036
600900.SH,2025-07-22,29.46,29.51,29.28,29.36,29.51,-0.15,-0.5083,943940.47,2772595.624,,-0.11855522992633993,-0.027288045816073997,-0.18253436822053187,,,,20.144231126571043,33.70688736766734,-6.981081355621555
600900.SH,2025-07-23,29.41,29.45,29.17,29.18,29.36,-0.18,-0.6131,1073549.45,3142732.507,,-0.16967168709290803,-0.05576477407144081,-0.22781382604293443,,,,13.635248734586417,27.01634115664037,-13.126936109521488
600900.SH,2025-07-24,29.19,29.19,28.8,28.94,29.18,-0.24,-0.8225,1668827.68,4823718.576,38.61896999228977,-0.22693191208559327,-0.0899982016742713,-0.2738674208226439,,,,11.435224449523284,21.82263558760134,-9.339597826632826
600900.SH,2025-07-25,28.86,28.98,28.75,28.75,28.94,-0.19,-0.6565,1008790.9,2910198.554,35.6286321029242,-0.2843644882241918,-0.12887145898425542,-0.31098605847987276,,,,7.623482966348857,17.089584713850513,-11.308720528654455
600900.SH,2025-07-28,28.75,28.84,28.6,28.64,28.75,-0.11,-0.3826,844450.6,2421911.286,33.98779187522827,-0.33489582863791867,-0.17007633291498808,-0.3296389914458612,,,,5.729571168504402,13.302913532068477,-9.417113558623747
600900.SH,2025-07-29,28.61,28.74,28.6,28.63,28.64,-0.01,-0.0349,717720.13,2057394.625,33.835236204026046,-0.37146715427672916,-0.2103544971873363,-0.32222531417878575,,,,4.37526966789178,10.327032244009578,-7.5282554843438145
600900.SH,2025-07-30,28.64,28.94,28.64,28.7,28.63,0.07,0.2445,978280.42,2814742.121,36.00075993523149,-0.3903026127769138,-0.2463441203052518,-0.287916984943324,,,,5.56234909076378,8.738804526260978,-0.7905617802306182
