code,task,model,accuracy,precision,recall,f1,auc,cm_tn,cm_fp,cm_fn,cm_tp,params
sh600900,分类,Logistic回归,0.4973544973544973,0.4838709677419355,0.5737704918032787,0.525,0.500042034468264,83,112,78,105,"{""C"": 0.05}"
sh600900,分类,决策树,0.5158730158730159,0.5,0.03278688524590164,0.06153846153846154,0.4976040353089533,189,6,177,6,"{""max_depth"": 3, ""min_samples_leaf"": 20}"
sh600900,分类,随机森林,0.5264550264550265,0.5144927536231884,0.3879781420765027,0.4423676012461059,0.49550231189575455,128,67,112,71,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
sh600900,分类,KNN,0.5291005291005291,0.5114155251141552,0.6120218579234973,0.5572139303482587,0.5261454392601933,88,107,71,112,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sh600900,分类,SVM,0.48412698412698413,0.48412698412698413,1.0,0.6524064171122995,0.5195740507215917,0,195,0,183,"{""C"": 0.5, ""gamma"": ""scale""}"
sh600900,分类,GBDT,0.455026455026455,0.4549019607843137,0.6338797814207651,0.5296803652968036,0.4875437859044416,56,139,67,116,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}"
sh600900,分类,AdaBoost,0.4973544973544973,0.48616600790513836,0.6721311475409836,0.5642201834862385,0.49532016253327726,65,130,60,123,"{""learning_rate"": 0.3, ""n_estimators"": 300}"
sh600900,分类,XGBoost,0.48412698412698413,0.47478991596638653,0.6174863387978142,0.5368171021377672,0.5061230208771192,70,125,70,113,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh600900,分类,LightGBM,0.5052910052910053,0.4911504424778761,0.6065573770491803,0.5427872860635696,0.5143337536780159,80,115,72,111,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""num_leaves"": 31}"
hk00700,分类,Logistic回归,0.5252100840336135,0.5094339622641509,0.23684210526315788,0.32335329341317365,0.4930673457838144,98,26,87,27,"{""C"": 0.05}"
hk00700,分类,决策树,0.4789915966386555,0.4642857142857143,0.5701754385964912,0.5118110236220472,0.48631154499151097,49,75,49,65,"{""max_depth"": 6, ""min_samples_leaf"": 20}"
hk00700,分类,随机森林,0.5042016806722689,0.484375,0.543859649122807,0.512396694214876,0.5324702886247877,58,66,52,62,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 200}"
hk00700,分类,KNN,0.542016806722689,0.5352112676056338,0.3333333333333333,0.41081081081081083,0.5207979626485568,91,33,76,38,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
hk00700,分类,SVM,0.5336134453781513,0.5130434782608696,0.5175438596491229,0.5152838427947598,0.5075693265421619,68,56,55,59,"{""C"": 0.5, ""gamma"": ""scale""}"
hk00700,分类,GBDT,0.5336134453781513,0.5176470588235295,0.38596491228070173,0.44221105527638194,0.49426994906621385,83,41,70,44,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150}"
hk00700,分类,AdaBoost,0.5084033613445378,0.2,0.008771929824561403,0.01680672268907563,0.4779994340690436,120,4,113,1,"{""learning_rate"": 0.3, ""n_estimators"": 150}"
hk00700,分类,XGBoost,0.48739495798319327,0.46,0.40350877192982454,0.42990654205607476,0.49957555178268254,70,54,68,46,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
hk00700,分类,LightGBM,0.5546218487394958,0.5444444444444444,0.4298245614035088,0.4803921568627451,0.5617572156196946,83,41,65,49,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh518880,分类,Logistic回归,0.4742268041237113,0.6463414634146342,0.2324561403508772,0.3419354838709677,0.5745339912280701,131,29,175,53,"{""C"": 0.05}"
sh518880,分类,决策树,0.4742268041237113,0.577922077922078,0.39035087719298245,0.46596858638743455,0.47630208333333335,95,65,139,89,"{""max_depth"": 6, ""min_samples_leaf"": 50}"
sh518880,分类,随机森林,0.48195876288659795,0.6194690265486725,0.30701754385964913,0.41055718475073316,0.5267269736842105,117,43,158,70,"{""max_depth"": 4, ""min_samples_leaf"": 20, ""n_estimators"": 200}"
sh518880,分类,KNN,0.5618556701030928,0.5833333333333334,0.8903508771929824,0.7048611111111112,0.4944490131578947,15,145,25,203,"{""n_neighbors"": 25, ""weights"": ""uniform""}"
sh518880,分类,SVM,0.5876288659793815,0.5876288659793815,1.0,0.7402597402597403,0.49407894736842095,0,160,0,228,"{""C"": 0.5, ""gamma"": ""scale""}"
sh518880,分类,GBDT,0.5463917525773195,0.5769230769230769,0.8552631578947368,0.6890459363957597,0.4864583333333333,17,143,33,195,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150}"
sh518880,分类,AdaBoost,0.5902061855670103,0.5924932975871313,0.9692982456140351,0.7354409317803661,0.5086211622807016,8,152,7,221,"{""learning_rate"": 0.5, ""n_estimators"": 150}"
sh518880,分类,XGBoost,0.5541237113402062,0.5801749271137027,0.8728070175438597,0.6970227670753065,0.4867872807017544,16,144,29,199,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh518880,分类,LightGBM,0.5644329896907216,0.5907692307692308,0.8421052631578947,0.6943942133815552,0.5013157894736842,27,133,36,192,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""num_leaves"": 15}"
sh515450,分类,Logistic回归,0.5252525252525253,0.6931818181818182,0.583732057416268,0.6337662337662338,0.46014571552849065,34,54,87,122,"{""C"": 0.05}"
sh515450,分类,决策树,0.4781144781144781,0.7872340425531915,0.35406698564593303,0.4884488448844885,0.5750869943453676,68,20,135,74,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
sh515450,分类,随机森林,0.4983164983164983,0.7112676056338029,0.48325358851674644,0.5754985754985755,0.49951065680730755,47,41,108,101,"{""max_depth"": 6, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
sh515450,分类,KNN,0.7037037037037037,0.7037037037037037,1.0,0.8260869565217391,0.5146802957807742,0,88,0,209,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sh515450,分类,SVM,0.7037037037037037,0.7037037037037037,1.0,0.8260869565217391,0.46395171813832103,0,88,0,209,"{""C"": 0.5, ""gamma"": ""scale""}"
sh515450,分类,GBDT,0.6902356902356902,0.7096774193548387,0.9473684210526315,0.8114754098360656,0.46085254458460195,7,81,11,198,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh515450,分类,AdaBoost,0.7037037037037037,0.7037037037037037,1.0,0.8260869565217391,0.5035341452805568,0,88,0,209,"{""learning_rate"": 0.3, ""n_estimators"": 150}"
