,corr_with_yreg,corr_with_ycls
hl_range,0.13925946315782253,0.07996047166769321
hl_range_ma5,0.09122268922705419,0.03547941743989179
vol_ratio_20,0.07828317979643337,0.05225693703167389
atr_14,0.07234218998834067,0.02526400835001682
boll_width,0.06717202216160556,0.03927850834795647
vol_10,0.05717229011222981,0.01654436347108287
vol_20,0.05119604336450258,0.022804675895124065
mom_3,-0.05013194117747942,-0.029657874634743737
logret_5,-0.043233129210546124,-0.03692055186158764
vol_5,0.04272746071750359,0.006757959357592573
ma_bias_10,-0.03815684909301588,-0.01262358302676044
mom_5,-0.03741072381172948,-0.034010717591864754
ma_bias_5,-0.03617554093209723,-0.013348023071893136
vol_ratio_5,0.035544379223196663,0.03261791489054466
macd_dif,-0.032662843643112886,0.013236040522268896
ma_bias_20,-0.027267999456682766,-0.004236853802731826
macd_dea,-0.02701740980076903,0.022879649844860118
macd_hist,-0.02445402542473364,-0.026887852218078382
fin_rev_gr,-0.02250052793033828,-0.032124985393807357
ma_bias_60,-0.020329269469072854,0.032962666788799354
pv_corr_20,-0.02010372762034406,-0.004667126892752383
vol_chg_1,0.019976705353143092,0.02499534738094915
fin_eps_chg,0.018359170685896077,-0.0017292200068014384
ma5_ma20,-0.018144511482497797,0.00015617097352526563
intraday,0.01308998370234081,0.020790510107567724
kdj_j,-0.013065661251765108,-0.009438672083606686
mom_1,0.012668522439970673,0.03410839082029528
fin_eps,-0.012658999814207553,-0.02864809166606112
ma10_ma60,-0.010170009134802871,0.042681296506201685
mom_60,-0.00939525065038762,0.05222042507662399
pos_60,0.009206341627283081,0.046571301753610884
pos_20,0.008597981050473642,0.009646500800958274
mom_10,-0.008058163673168995,0.01007707853529622
logret_1,0.007587381561857646,0.03159808144474412
kdj_k,-0.006907274912354443,0.0014787160018795154
fin_roe,-0.006474222525472519,-0.024649432171810964
rsi_14,-0.005470309183021974,0.02051080784677249
fin_np_gr,-0.00344435376585124,-0.0012073608824795115
rsi_6,-0.002674133695648972,0.007762934668596759
mom_20,-0.002334901928602402,0.015077194853015218
overnight,0.0014468614570305536,0.02741905984575325
kdj_d,-0.0004553497403045452,0.010662462052291773
boll_pctb,0.0001979061607069635,0.0003281503814054484
