,corr_with_yreg,corr_with_ycls
vol_ratio_20,0.10505196480530668,0.06073505290459694
hl_range,0.07819410551002065,0.03180839031222635
vol_10,0.0768024223491549,0.024950997844086647
vol_chg_1,0.0719881929019095,0.032082329085378884
vol_5,0.07178234580858019,0.04388466876663853
boll_width,0.0691418407905709,0.03409612847626086
vol_20,0.06737675974938813,0.021587219623196267
hl_range_ma5,0.06376320294017034,0.029266780308511754
vol_ratio_5,0.06183381454940946,0.043254808970123806
intraday,0.061088888915203296,-0.02153684845085291
mom_1,0.060864769067074075,-0.015472016624681666
logret_1,0.058229350447637204,-0.01634572960910299
atr_14,0.054843845130912755,0.011306721536309678
boll_pctb,0.03907288026233744,0.0012413785137571597
ma_bias_5,0.035476399671207644,-0.020685273349857872
pos_20,0.028379638899358968,0.0017356006353799406
mom_3,0.026560299287227133,-0.02248985882690501
rsi_6,0.025823363247103024,-0.013408791397260734
mom_60,-0.023249399527248048,-0.0024403135942518005
ma5_ma20,-0.02097049413564202,-0.006741153820288171
macd_dif,-0.019295880014185186,0.002128203377759754
macd_dea,-0.01812270488961284,0.006960608959872846
rsi_14,0.016723952532470478,-0.004507392169162428
ma10_ma60,-0.015119070892550917,0.004006679333254432
ma_bias_60,-0.012195486205880832,-0.009156151096972914
overnight,0.010455633401197055,0.008153911567483579
mom_10,0.008307338455346647,-0.021225246408027025
macd_hist,-0.007310951469021572,-0.014164683903040522
pv_corr_20,0.005520099231297379,-0.015717280921472673
mom_20,0.0040954635180349384,0.0024102135655097176
logret_5,-0.0039348772458724255,-0.036466538786657954
kdj_j,-0.0034545941276217015,-0.03446609775200087
kdj_k,-0.0020403576940650407,-0.013902461997859024
ma_bias_10,0.0020192966536699054,-0.03066286656273171
pos_60,0.0017980814372728388,-0.0030212572008437924
mom_5,-0.0015548124164179613,-0.035957459020123664
kdj_d,-0.0005094937505301063,0.005829250883310474
ma_bias_20,0.00037921311087877734,-0.014537298491299335
