,corr_with_yreg,corr_with_ycls
intraday,-0.152821515160434,-0.10757920288718863
logret_1,-0.14842200516070442,-0.10941121619118051
mom_1,-0.14786587424784417,-0.11012160023504204
ma_bias_5,-0.11365690145812052,-0.05559291418908619
ma_bias_10,-0.10458512316972454,-0.03701192913882569
logret_5,-0.09617467273362257,-0.030755435756613134
mom_5,-0.09551259119340842,-0.03222249670677912
mom_3,-0.08873983464346513,-0.03768662700547771
ma_bias_20,-0.07805122523382531,-0.007650562034096015
mom_10,-0.07698135327060512,-0.02240541589480928
kdj_j,-0.07543563025582728,-0.009290412677876376
rsi_6,-0.0696492098824563,0.0022477513142672833
ma_bias_60,-0.06432809133429661,-0.002717181664691999
boll_pctb,-0.06430150837375176,0.012697923323521135
overnight,-0.06087266917503964,-0.049771748822430135
rsi_14,-0.05966739396082331,0.010772007757212486
mom_60,-0.0570982604286059,-0.008460863663830339
pos_20,-0.0541778009720999,0.029220151792047695
kdj_k,-0.04495208823483858,0.026780327076221067
mom_20,-0.04488761877226825,0.014315272934134995
macd_hist,-0.03779001066409208,0.013137426186819342
macd_dif,-0.03155357499631329,0.02578352679676053
ma5_ma20,-0.03025973831079025,0.025285270268132477
pos_60,-0.027861413284060405,0.04970852481287329
ma10_ma60,-0.024029879526731385,0.015614374800062874
macd_dea,-0.02094911129303937,0.023174284373104946
hl_range_ma5,-0.020600508231163887,-0.07294598252148705
vol_chg_1,0.017856704481974007,0.04254461963596155
boll_width,-0.014181770722825084,-0.0801733911042413
atr_14,-0.013904929504458891,-0.06934571622495939
hl_range,0.012164802856405133,-0.05704236095306901
kdj_d,-0.009885609258226681,0.05432368818242435
vol_ratio_20,0.008273875319276952,-0.00508668951219484
pv_corr_20,0.007326075969153111,-0.016382558112110507
vol_5,0.0068571773347160525,-0.06077730616435275
vol_ratio_5,0.006043498792246135,0.013183795103779455
vol_10,0.004626126121695255,-0.04034667063764387
vol_20,0.003200038083966089,-0.024788013693063986
