,count,mean,std,min,25%,50%,75%,max,skew,kurt
mom_1,1939.0,0.0008792271496237531,0.01679719890812832,-0.10280373831775713,-0.007352941176470562,0.0,0.01105006105006101,0.09433962264150941,-0.23281859310414432,3.531762244766084
mom_3,1939.0,0.002553078446304116,0.02637335268120539,-0.11111111111111116,-0.013333333333333308,0.0,0.01754385964912286,0.13207547169811318,-0.03001656081300078,1.8674118254225243
mom_5,1939.0,0.004248092876661757,0.0331905248449956,-0.1351351351351352,-0.015151515151515138,0.0,0.023809523809523725,0.16417910447761197,-0.07421549149283299,1.4764965590835044
mom_10,1939.0,0.008446767856835095,0.0446060611796138,-0.17647058823529416,-0.015625,0.012195121951219523,0.03333333333333344,0.278688524590164,-0.1251359885205018,1.8423801898957852
mom_20,1939.0,0.016918032174503498,0.06235041876463089,-0.26315789473684204,-0.022727272727272707,0.022727272727272707,0.05405405405405417,0.30000000000000004,-0.23187875276973027,1.2573691322634502
mom_60,1939.0,0.050583278810687346,0.10177304546865373,-0.2325581395348837,-0.016393442622950838,0.05223880597014907,0.1179144385026738,0.4181818181818182,-0.013044971965283916,-0.11062082370104465
logret_1,1939.0,0.0007375907966359514,0.016828915807004054,-0.10848064299407006,-0.007380107297622534,0.0,0.010989453359387582,0.09015109699429748,-0.372569064154202,3.7447518166259752
logret_5,1939.0,0.003690992067135911,0.03316022665099183,-0.14518200984449797,-0.01526747213078842,0.0,0.023530497410194036,0.1520162072986257,-0.24534479745844784,1.49907205755412
ma_bias_5,1939.0,0.0015137406020385236,0.01663957551432147,-0.08918406072097806,-0.007757029965088341,0.001669449081801613,0.01147231727646427,0.08333333333321767,-0.2715545129810522,2.265184253383104
ma_bias_10,1939.0,0.003449473270092137,0.024431589141134753,-0.12087912087901027,-0.010152284263933633,0.004942339373962208,0.01781170483456029,0.14035087719277742,-0.2775235160067152,2.1411080657852755
ma_bias_20,1939.0,0.007343238438287178,0.034747662868679495,-0.1625124626118394,-0.012187299550978602,0.01071975497701269,0.028106944570564125,0.21118012422327478,-0.3520595596037752,2.374625484856604
ma_bias_60,1939.0,0.023025628730604604,0.05884481654073893,-0.18413597733695392,-0.009887653680477676,0.029983978026967346,0.059751571921818236,0.31423757371471905,-0.2398469785086006,0.7586017212860048
ma5_ma20,1939.0,0.005712774241493419,0.02670191042005533,-0.11566018423927182,-0.009342225843931184,0.008727606797419352,0.02110284638699289,0.11801242235851261,-0.43645673768693843,1.8471574474299213
ma10_ma60,1939.0,0.019307756989041254,0.0492531463060294,-0.13202527436155875,-0.01052940834249494,0.02726281352139548,0.05100286202897253,0.16338418862497095,-0.33282678808157196,0.16017506110035118
vol_5,1939.0,0.014758150432248618,0.008942570165656742,0.0,0.009364136998535225,0.013355821040734673,0.018764525548769805,0.07312903838073509,1.8902447247375715,7.78758272086114
vol_10,1939.0,0.015393612861931949,0.007371631039551005,0.0,0.010585060965199964,0.014232909080444492,0.018503548720205678,0.05597678194892928,1.7628762473926765,5.654578847982592
vol_20,1939.0,0.01575927839055291,0.006206701784042899,0.005323971374999473,0.01145771411547656,0.014668370787735478,0.018166676001988014,0.042962660735813674,1.4800518127648594,2.911944861093563
atr_14,1939.0,0.0157248692687804,0.006748278619228474,0.004665999358220814,0.010938995273444468,0.014506659341796943,0.018497594744598965,0.04684930153213904,1.598549643790086,3.5208732071186915
hl_range,1939.0,0.010074662018625662,0.012012269311322911,0.0,0.0,0.00854700854700125,0.0156249999999756,0.10204081632632246,2.247471696630256,9.781885301218221
hl_range_ma5,1939.0,0.010081410282249936,0.008033926431824163,0.0,0.0050707432038396205,0.008656628603664068,0.012953096814256158,0.05997251574707764,2.009573529915858,6.103651338608962
vol_chg_1,1939.0,0.20219705729374549,1.100738605976162,-0.9820157020266569,-0.2585306136903741,-0.0159922036010417,0.34441605673002573,24.005714285714287,9.1548603539074,144.92938113827054
vol_ratio_5,1939.0,1.0145025362892799,0.3847502308711255,0.05687723755629979,0.779138517978035,0.9589052434095267,1.1856608870590755,3.1595695716348975,1.2338739676345394,3.571300351623202
vol_ratio_20,1939.0,1.0682564070623743,0.6020078664188286,0.04111747701491291,0.7131757565596424,0.9373201356899313,1.280291604873923,7.178700078308534,2.9588730509819117,18.38886823673081
pv_corr_20,1939.0,0.025649376365068012,0.33799005810503574,-0.7181586423029366,-0.23435575469344044,0.029945198423703814,0.2849284632272122,0.8026532863568822,0.004256611569532676,-0.8040710803764628
rsi_6,1939.0,55.76046277873268,18.954822659823435,6.099660395533689,41.97159618106124,57.109248357848095,69.32323281009968,98.70275712875306,-0.11157462355883906,-0.5418708657890257
rsi_14,1939.0,55.006391001710654,11.9367212734217,19.89231415364833,46.88989999562652,55.96984918155469,63.54674472085022,89.42037873727662,-0.06193901722930652,-0.23013016657774799
macd_dif,1939.0,0.004553264786759839,0.01514150779858782,-0.06551500770379946,-0.003869732484938784,0.00732231324621252,0.014319905947292327,0.053443722504203324,-0.7197424639404644,1.180375066422664
macd_dea,1939.0,0.004565579109356577,0.014115026713371446,-0.052709317632210075,-0.0036643157942309245,0.007335164939009895,0.01362826993668648,0.043871447630885275,-0.6735359248884158,0.6757122443391395
macd_hist,1939.0,-2.4628645193476985e-05,0.009635955807250652,-0.04829736362373991,-0.005177805380696107,0.00012797520543010035,0.0053918267360512275,0.03448562631998867,-0.4608414226083882,2.112345265524078
kdj_k,1939.0,58.395636211900104,25.87649445251482,2.7117604532225505,36.62809510816102,61.390662905635836,80.82402215809452,99.72254915912372,-0.2636833383273363,-1.1021977129660019
kdj_d,1939.0,58.39208719321418,22.58425588203795,7.959288736977932,39.74100002348821,61.273757168214146,76.93058713230516,98.66195315096836,-0.25668418034218204,-0.993978363793731
kdj_j,1939.0,58.40273424927196,40.34020948877706,-31.128184918988623,23.65683812662712,62.431773375858484,95.2465245393173,128.4593323124779,-0.24452536257985494,-1.1731590742062943
boll_pctb,1939.0,0.5896172491498911,0.3138084972203894,-0.39345614826354447,0.3450167709643924,0.6507957615440965,0.8286227023642315,1.2673872534087154,-0.39172319120104226,-0.651622289418035
boll_width,1939.0,0.09670011528958379,0.04900925161645226,0.02704170172075951,0.06164044908570684,0.08731730656022792,0.11817622155749857,0.34768072030480496,1.5502676233243593,3.513014590786628
pos_20,1939.0,0.6299131012600101,0.3579692039938737,0.0,0.33333333332222226,0.7272727272661154,0.9999999999666667,0.9999999999966668,-0.5013066260920902,-1.1502264859871918
pos_60,1939.0,0.6599081420962986,0.32434711223861806,0.0,0.42857142856530517,0.74999999999375,0.9999999999666667,0.9999999999980392,-0.6282115361777025,-0.9199565833161256
overnight,1939.0,0.0008764991730753853,0.014609712800955441,-0.10280373831859568,-2.564060075371799e-12,-1.4706014184184824e-12,0.008695652173035917,0.101010101008989,-0.3759442492524469,5.497181520201432
intraday,1939.0,2.3440112437213236e-05,0.010485085311447085,-0.0862068965532995,-2.380873276308648e-12,-1.4492851363456793e-12,-8.54760706658908e-13,0.08888888888646918,-0.06484231598434159,8.395358618772281
