feat_a,feat_b,abs_corr
mom_1,logret_1,0.999
mom_3,ma_bias_5,0.938
mom_5,logret_5,1.0
mom_5,ma_bias_10,0.91
mom_10,ma_bias_20,0.908
logret_5,ma_bias_10,0.91
ma_bias_20,rsi_14,0.906
ma_bias_20,boll_pctb,0.9
ma_bias_60,macd_dif,0.935
ma10_ma60,macd_dif,0.921
ma10_ma60,macd_dea,0.983
rsi_6,rsi_14,0.912
rsi_6,boll_pctb,0.939
macd_dif,macd_dea,0.943
kdj_k,kdj_d,0.999
kdj_k,kdj_j,0.998
kdj_d,kdj_j,1.0
boll_pctb,pos_20,0.953
overnight,intraday,0.985
fin_rev_ttm,fin_np_ttm,0.985
fin_rev_ttm,fin_npm,0.921
fin_np_ttm,fin_npm,0.962
