,VIF
macd_hist,1000000.0
kdj_k,1000000.0
macd_dif,1000000.0
kdj_j,1000000.0
kdj_d,1000000.0
macd_dea,1000000.0
intraday,5899.85296510043
overnight,3504.7636337114627
mom_1,3485.3806695874705
logret_1,3122.179472693636
ma_bias_20,2518.8089064960955
ma5_ma20,1881.2753588954556
ma_bias_60,1286.4263394115778
ma10_ma60,1202.8327301663244
logret_5,819.8424669468515
mom_5,793.1023967029945
ma_bias_5,593.4542968830441
ma_bias_10,243.73480385126635
rsi_14,63.90595095280047
rsi_6,56.66718823760325
boll_pctb,25.994367192224022
fin_roe,25.03198330007134
fin_eps,23.233616057249765
pos_20,21.63726969375725
mom_3,14.779693714389577
atr_14,12.458940532587132
mom_20,12.095083170020915
mom_10,10.722230416510392
hl_range_ma5,9.76118302702777
pos_60,9.274632046114734
vol_20,8.931499934465476
mom_60,7.239672621685702
vol_10,6.275258152678441
vol_ratio_20,6.200694310571944
vol_ratio_5,5.530986918406634
vol_5,4.68766342036887
hl_range,4.656977984749757
boll_width,4.489921661885352
pv_corr_20,2.911451405658229
vol_chg_1,2.613033814811194
fin_rev_gr,2.1467158702769833
fin_np_gr,2.085050421991035
fin_eps_chg,1.5393689748002357
