,VIF
kdj_k,1000000.0
macd_hist,1000000.0
kdj_j,1000000.0
kdj_d,1000000.0
macd_dea,1000000.0
macd_dif,1000000.0
logret_1,10408.573739669006
ma_bias_20,8956.314989603328
intraday,8298.309920856742
mom_1,7547.77296827765
ma5_ma20,5705.416394036097
ma_bias_60,3415.6175624754933
ma10_ma60,2632.2717478970035
mom_5,2548.4451813634496
overnight,2501.3283656119647
logret_5,2486.2883026630834
ma_bias_5,1963.9246645144665
ma_bias_10,663.0275222876518
rsi_14,59.03927729729697
rsi_6,42.950887385139985
boll_pctb,24.457724556126944
pos_20,18.602766928703204
mom_3,15.34296366471246
mom_10,12.644381969073619
mom_20,12.089430776040007
atr_14,10.11973746495234
hl_range_ma5,10.065356240068054
pos_60,9.313153268011668
vol_20,8.367156194250613
mom_60,7.2952576598527195
vol_10,6.5410541545934615
vol_ratio_5,5.374039465537916
vol_5,4.6498285698531125
hl_range,4.469158623102194
boll_width,4.290983890128416
vol_ratio_20,4.193474127569137
vol_chg_1,2.5796782494853083
pv_corr_20,1.5560142800259271
