,VIF
kdj_k,1000000.0
macd_hist,1000000.0
kdj_j,1000000.0
kdj_d,1000000.0
macd_dea,1000000.0
macd_dif,1000000.0
ma_bias_20,6641.909205300643
mom_1,5912.949701858254
logret_1,4606.760759233741
ma5_ma20,4401.222986020071
overnight,3280.9816822504617
ma_bias_60,2791.0187392984317
logret_5,2330.569622023605
mom_5,2314.414924521119
ma10_ma60,2235.1345718647594
intraday,1675.2461106798323
ma_bias_5,1593.01733338948
ma_bias_10,537.5897549991245
rsi_14,39.9330878254435
rsi_6,24.357981033553624
boll_pctb,17.50306883851857
pos_20,11.624649412159364
mom_20,10.987827171112324
mom_10,10.550536662537215
mom_3,10.11985068730661
atr_14,9.621447764220687
pos_60,9.011384192932388
mom_60,6.2728452487114685
vol_20,5.89862633697467
vol_10,5.431278019726089
hl_range_ma5,4.461276139723806
vol_ratio_5,3.614839044614987
boll_width,3.592519302624875
vol_5,3.477581150008123
vol_ratio_20,3.1955051897222964
hl_range,2.183024811459864
vol_chg_1,1.6433368825743584
pv_corr_20,1.3493243133487387
