date,open,high,low,close,volume
2018-05-17,370.59,370.79,355.79,357.59,0
2018-05-18,361.67,362.47,355.47,358.47,0
2018-05-21,364.07,365.47,355.47,355.47,0
2018-05-23,360.27,361.87,354.47,354.47,0
2018-05-24,358.47,358.87,350.07,354.47,0
2018-05-25,350.47,355.07,349.07,351.47,0
2018-05-28,355.07,355.07,348.67,352.67,0
2018-05-29,351.27,353.67,349.47,349.47,0
2018-05-30,347.67,347.67,342.47,342.47,0
2018-05-31,344.27,349.27,342.67,346.67,0
2018-06-01,349.07,351.47,345.67,351.47,0
2018-06-04,360.47,362.47,356.27,362.47,0
2018-06-05,366.27,367.47,362.87,367.47,0
2018-06-06,368.67,372.47,368.27,372.47,0
2018-06-07,378.47,379.07,373.27,376.67,0
2018-06-08,374.07,374.07,360.07,362.47,0
2018-06-11,367.47,368.47,363.07,366.47,0
2018-06-12,367.87,369.87,363.67,364.87,0
2018-06-13,367.47,367.47,362.47,362.67,0
2018-06-14,365.07,365.07,356.07,359.47,0
2018-06-15,363.47,364.47,355.87,357.47,0
2018-06-19,357.47,357.47,342.67,344.27,0
2018-06-20,347.47,352.07,344.87,347.67,0
2018-06-21,351.87,352.47,343.67,344.27,0
2018-06-22,343.07,347.87,338.67,344.87,0
2018-06-25,342.47,345.27,335.87,336.27,0
2018-06-26,331.47,337.87,327.47,333.47,0
2018-06-27,333.47,335.07,324.87,324.87,0
2018-06-28,322.47,329.87,320.87,326.47,0
2018-06-29,327.47,341.27,327.47,341.27,0
2018-07-03,342.47,342.47,329.07,338.27,0
2018-07-04,336.67,338.27,329.27,330.47,0
2018-07-05,330.47,335.47,326.67,333.07,0
2018-07-06,334.47,336.67,327.87,334.07,0
2018-07-09,341.67,345.47,339.67,343.47,0
2018-07-10,343.47,345.47,333.67,334.27,0
2018-07-11,325.47,329.67,322.47,326.87,0
2018-07-12,325.47,332.27,324.27,327.47,0
2018-07-13,334.27,334.27,327.47,328.47,0
2018-07-16,331.07,333.67,327.87,328.87,0
2018-07-17,327.47,328.07,322.47,323.27,0
2018-07-18,327.87,330.47,323.47,325.47,0
2018-07-19,325.47,328.07,322.67,323.07,0
2018-07-20,323.27,325.07,319.07,324.07,0
2018-07-23,325.07,325.07,316.67,318.47,0
2018-07-24,321.47,323.07,319.27,322.67,0
2018-07-25,325.67,327.47,323.87,327.27,0
2018-07-26,329.27,330.27,317.87,322.27,0
2018-07-27,318.47,321.47,317.27,320.47,0
2018-07-30,317.47,318.27,309.07,314.67,0
2018-07-31,308.47,309.27,300.87,302.67,0
2018-08-01,308.27,308.67,300.47,302.47,0
2018-08-02,300.27,301.87,287.87,292.47,0
2018-08-03,295.67,302.07,294.07,297.27,0
2018-08-06,305.27,305.27,297.47,300.47,0
2018-08-07,302.47,305.87,296.07,304.47,0
2018-08-08,314.07,314.07,308.07,311.47,0
2018-08-09,314.47,322.87,312.47,320.07,0
2018-08-10,322.87,323.07,312.07,317.47,0
2018-08-13,310.47,312.07,307.67,308.47,0
2018-08-14,302.47,305.47,289.27,296.07,0
2018-08-15,290.47,291.47,282.47,283.47,0
2018-08-16,267.47,280.07,266.47,273.27,0
2018-08-17,282.47,286.27,281.07,284.47,0
2018-08-20,290.67,299.87,289.87,298.27,0
2018-08-21,302.47,302.47,293.07,298.07,0
2018-08-22,301.47,308.07,296.87,306.87,0
2018-08-23,310.47,310.67,301.47,306.47,0
2018-08-24,300.47,305.47,300.07,301.47,0
2018-08-27,306.87,308.47,303.67,308.47,0
2018-08-28,312.47,316.27,308.87,312.87,0
2018-08-29,312.47,313.47,305.27,308.27,0
2018-08-30,308.67,310.07,302.87,304.87,0
2018-08-31,287.07,291.07,285.47,287.47,0
2018-09-03,280.87,282.67,276.07,280.27,0
2018-09-04,276.67,288.47,276.47,286.07,0
2018-09-05,279.67,280.87,270.67,272.27,0
2018-09-06,263.47,270.27,259.47,262.07,0
2018-09-07,260.67,267.07,257.07,264.27,0
2018-09-10,266.27,269.47,259.27,261.07,0
2018-09-11,261.07,261.47,254.67,255.47,0
2018-09-12,259.47,259.87,252.67,255.87,0
2018-09-13,262.27,271.27,261.47,271.27,0
2018-09-14,277.47,279.27,275.47,277.47,0
2018-09-17,272.47,273.47,266.07,266.67,0
