q,strat,bh,code
2024Q4,0.0,0.03811991117690594,sh600900
2025Q1,-0.00032593300413652493,-0.03885918003565103,sh600900
2025Q2,0.00340893157935529,0.0916172106824924,sh600900
2025Q3,-0.00017306030758601487,-0.06659870880054408,sh600900
2025Q4,0.0,-0.01456133964324724,sh600900
2026Q1,0.0043129167227105025,-0.007018840044330399,sh600900
2026Q2,0.0,-0.008928571428572507,sh600900
2026Q3,0.0,0.020645645645645416,sh600900
2025Q3,0.049254239237149555,0.3129890453834103,hk00700
2025Q4,-0.0009957656918088142,-0.07970798569725834,hk00700
2026Q1,0.004914720311520515,-0.2046300793265342,hk00700
2026Q2,-0.0009564285930847571,-0.12436393242418131,hk00700
2026Q3,0.005877479273480368,0.05067410506741066,hk00700
2024Q4,0.0015494447506316789,0.013559322033898757,sh518880
2025Q1,0.0009425536873772788,0.1806020066889633,sh518880
2025Q2,0.0,0.048158640226628746,sh518880
2025Q3,0.004575721413103917,0.17972972972972912,sh518880
2025Q4,0.001052682498263513,0.08820160366552088,sh518880
2026Q1,0.0,0.05473684210526342,sh518880
2026Q2,0.0010478756404539435,-0.17465069860279414,sh518880
2026Q3,0.0,0.0435308343409917,sh518880
2025Q2,0.0026514258389214174,0.04511278195488644,sh515450
2025Q3,0.004782892177847886,-0.014388489208632893,sh515450
2025Q4,0.014958004017910698,0.0218978102189773,sh515450
2026Q1,0.008757873817587969,0.028571428571428692,sh515450
2026Q2,0.001253444607523857,-0.07638888888888873,sh515450
2026Q3,0.0,0.030075187969925032,sh515450
2024Q4,0.03836468196885434,0.07758620689655138,sz159941
2025Q1,-0.10332800403486953,-0.1359999999999999,sz159941
2025Q2,0.07897093043546555,0.12962962962962932,sz159941
2025Q3,0.07527548818148477,0.11475409836065453,sz159941
2025Q4,0.012988937159860381,0.05147058823529349,sz159941
2026Q1,-0.008544840845926438,-0.09090909090909072,sz159941
2026Q2,0.12796117280970787,0.2692307692307685,sz159941
2026Q3,0.0,-0.01212121212121231,sz159941
2025Q2,0.0,0.0,sh588000
2025Q3,0.033266321789814146,0.5428571428571431,sh588000
2025Q4,0.012963702757996742,-0.08641975308641903,sh588000
2026Q1,0.015835129657206348,-0.07432432432432468,sh588000
2026Q2,0.047273967507099446,0.6715328467153303,sh588000
2026Q3,0.0,-0.07423580786026196,sh588000
2024Q4,0.0,-0.021164021164021385,sh510300
2025Q1,0.0,0.018918918918918948,sh510300
2025Q2,-0.0007925066466243358,0.0265251989389923,sh510300
2025Q3,0.03898724247034191,0.21188630490956162,sh510300
2025Q4,0.0,0.006396588486140775,sh510300
2026Q1,-0.010360512744765016,-0.04025423728813515,sh510300
2026Q2,0.0,0.10375275938189854,sh510300
2026Q3,0.0,-0.02400000000000002,sh510300
2024Q4,0.0,-0.045296167247386054,sh510500
2025Q1,0.004616433971891487,0.06204379562043805,sh510500
2025Q2,0.0012577187212994279,0.0171821305841926,sh510500
2025Q3,0.0006915964147788944,0.28209459459459474,sh510500
2025Q4,0.008101471214870815,0.01844532279314781,sh510500
2026Q1,0.019441278586299182,0.010349288486415809,sh510500
2026Q2,0.0031598876832414913,0.1754161331626125,sh510500
2026Q3,-7.278126785426053e-05,-0.04030501089324612,sh510500
