code,name,rows,start,end
sh601398,工商银行,2000,2018-04-27,2026-07-24
sh601939,建设银行,2000,2018-04-27,2026-07-24
sh601288,农业银行,2000,2018-04-27,2026-07-24
sh601988,中国银行,2000,2018-04-27,2026-07-24
sh600036,招商银行,2000,2018-04-27,2026-07-24
sh600000,浦发银行,2000,2018-04-27,2026-07-24
sh601166,兴业银行,2000,2018-04-27,2026-07-24
sh600016,民生银行,2000,2018-04-27,2026-07-24
sz000001,平安银行,2000,2018-04-27,2026-07-24
sh601169,北京银行,2000,2018-04-27,2026-07-24
sh600926,杭州银行,2000,2018-04-27,2026-07-24
sh601818,光大银行,2000,2018-04-27,2026-07-24
