code,name,rows,start,end
sh000300,沪深300指数,2000,2018-04-27,2026-07-24
sh000905,中证500指数,2000,2018-04-27,2026-07-24
sh000852,中证1000指数,2000,2018-04-27,2026-07-24
sz399303,国证2000指数,2000,2018-04-27,2026-07-24
sh000001,上证指数,2000,2018-04-27,2026-07-24
sh510300,沪深300ETF,2000,2018-04-27,2026-07-24
sh510500,中证500ETF,2000,2018-04-27,2026-07-24
sh512100,中证1000ETF,2000,2018-04-26,2026-07-24
sh588000,科创50ETF,1380,2020-11-16,2026-07-24
sz159915,创业板ETF,2000,2018-04-26,2026-07-24
sh512000,券商ETF,2000,2018-04-27,2026-07-24
sh512010,医药ETF,2000,2018-04-26,2026-07-24
sh512690,酒ETF,1753,2019-05-06,2026-07-24
sh512800,银行ETF,2000,2018-04-27,2026-07-24
sh518880,黄金ETF,2000,2018-04-27,2026-07-24
sz159941,纳指ETF,2000,2018-04-27,2026-07-24
sh515450,红利低波ETF,1556,2020-02-26,2026-07-24
