date,open,high,low,close,volume
2018-04-27,4.25,4.31,4.11,4.29,1211547.0
2018-05-02,4.39,4.42,4.2,4.28,956967.0
2018-05-03,4.28,4.31,4.13,4.26,910053.0
2018-05-04,4.23,4.27,4.14,4.15,1002511.0
2018-05-07,4.16,4.24,4.08,4.22,1147342.0
2018-05-08,4.22,4.45,4.21,4.37,1982425.0
2018-05-09,4.4,4.43,4.31,4.4,774356.0
2018-05-10,4.42,4.5,4.32,4.39,1061464.0
2018-05-11,4.42,4.63,4.37,4.55,2013200.0
2018-05-14,4.56,4.68,4.47,4.57,1552628.0
2018-05-15,4.62,4.66,4.51,4.57,1154219.0
2018-05-16,4.52,4.55,4.41,4.44,972968.0
2018-05-17,4.44,4.46,4.35,4.4,687346.0
2018-05-18,4.4,4.55,4.37,4.54,954169.0
2018-05-21,4.58,4.62,4.42,4.46,1818128.0
2018-05-22,4.43,4.44,4.23,4.3,2062003.0
2018-05-23,4.3,4.3,4.16,4.18,1396715.0
2018-05-24,4.18,4.2,4.08,4.1,1447421.0
2018-05-25,4.08,4.14,4.04,4.1,1418534.0
2018-05-28,4.09,4.1,4.02,4.08,1044713.0
2018-05-29,4.06,4.07,3.89,4.02,2204374.0
2018-05-30,3.92,3.95,3.84,3.86,1319765.0
2018-05-31,3.9,3.97,3.86,3.93,1172526.0
2018-06-01,3.9,3.98,3.85,3.89,984067.0
2018-06-04,3.91,4.04,3.9,3.98,0.0
2018-06-05,3.97,3.99,3.89,3.99,0.0
2018-06-06,3.95,3.99,3.91,3.94,891237.0
2018-06-07,3.99,4.06,3.95,3.99,1338168.0
2018-06-08,3.96,3.96,3.83,3.84,1414921.0
2018-06-11,3.82,3.86,3.75,3.82,1082797.0
2018-06-12,3.81,3.9,3.77,3.89,870242.0
2018-06-13,3.87,3.89,3.8,3.87,880223.0
2018-06-14,3.83,3.95,3.82,3.92,947088.0
2018-06-15,3.9,4.06,3.88,4.04,1676504.0
2018-06-19,3.97,4.07,3.86,4.04,3022876.0
2018-06-20,3.98,4.01,3.88,3.92,904295.0
2018-06-21,3.92,4.03,3.87,3.87,948948.0
2018-06-22,3.83,3.93,3.81,3.87,781675.0
2018-06-25,3.93,3.93,3.7,3.71,1127717.0
2018-06-26,3.65,3.66,3.41,3.54,1537790.0
2018-06-27,3.49,3.5,3.33,3.38,1254801.0
2018-06-28,3.34,3.35,3.2,3.23,1116610.0
2018-06-29,3.25,3.39,3.25,3.36,921416.0
2018-07-02,3.34,3.35,3.0,3.03,1365295.0
2018-07-03,3.04,3.14,2.96,3.13,1570227.0
2018-07-04,3.12,3.23,3.09,3.13,982479.0
2018-07-05,3.12,3.27,3.11,3.22,1115357.0
2018-07-06,3.21,3.34,3.16,3.27,973611.0
2018-07-09,3.3,3.63,3.3,3.62,1447813.0
2018-07-10,3.63,3.63,3.5,3.58,1059033.0
2018-07-11,3.41,3.63,3.38,3.54,1334894.0
2018-07-12,3.52,3.83,3.52,3.78,1555668.0
2018-07-13,3.8,3.81,3.71,3.79,906557.0
2018-07-16,3.75,3.83,3.53,3.61,1341476.0
2018-07-17,3.57,3.58,3.4,3.47,1190914.0
2018-07-18,3.49,3.64,3.48,3.5,816523.0
2018-07-19,3.53,3.55,3.41,3.45,932870.0
2018-07-20,3.44,3.95,3.41,3.88,2564125.0
2018-07-23,3.87,4.09,3.8,4.03,2426225.0
2018-07-24,4.02,4.18,3.97,4.03,1962392.0
2018-07-25,4.05,4.09,3.93,4.02,989207.0
2018-07-26,4.02,4.11,3.91,4.01,1025918.0
2018-07-27,3.95,4.04,3.92,3.95,713806.0
2018-07-30,3.95,4.11,3.91,4.05,1125745.0
2018-07-31,4.04,4.16,3.96,4.11,990768.0
2018-08-01,4.12,4.2,3.97,3.98,1209441.0
2018-08-02,3.9,3.96,3.79,3.84,1147425.0
2018-08-03,3.84,4.01,3.83,3.93,1014787.0
2018-08-06,3.92,4.08,3.9,3.99,1036199.0
2018-08-07,4.0,4.09,3.91,4.08,1275063.0
2018-08-08,4.06,4.07,3.92,3.95,861487.0
2018-08-09,3.91,4.05,3.91,4.03,864125.0
2018-08-10,4.01,4.03,3.93,3.95,680741.0
2018-08-13,3.91,3.91,3.66,3.77,1498197.0
2018-08-14,3.75,3.79,3.66,3.78,689260.0
2018-08-15,3.75,3.77,3.65,3.67,733772.0
2018-08-16,3.59,3.71,3.56,3.7,851057.0
2018-08-17,3.75,3.79,3.6,3.62,610187.0
2018-08-20,3.65,3.78,3.62,3.76,846437.0
2018-08-21,3.75,3.86,3.73,3.82,811674.0
2018-08-22,3.81,3.82,3.74,3.8,358517.0
2018-08-23,3.8,3.85,3.74,3.79,384157.0
2018-08-24,3.76,4.01,3.74,3.9,931007.0
2018-08-27,3.93,4.01,3.88,4.01,1013238.0
2018-08-28,4.02,4.12,4.0,4.05,873951.0
2018-08-29,4.02,4.04,3.96,4.0,403195.0
2018-08-30,4.0,4.05,3.93,3.93,414933.0
2018-08-31,3.93,4.06,3.87,3.98,728204.0
2018-09-03,3.97,4.06,3.93,3.98,690021.0
2018-09-04,3.98,4.06,3.89,4.03,631176.0
2018-09-05,3.99,4.03,3.79,3.81,904700.0
2018-09-06,3.78,3.84,3.76,3.77,495824.0
2018-09-07,3.78,3.82,3.67,3.76,1031326.0
2018-09-10,3.71,3.8,3.68,3.72,641739.0
2018-09-11,3.73,3.79,3.64,3.68,492734.0
2018-09-12,3.65,3.68,3.6,3.64,492358.0
2018-09-13,3.69,3.74,3.65,3.74,550785.0
2018-09-14,3.73,3.8,3.72,3.75,466158.0
2018-09-17,3.73,3.78,3.71,3.71,447951.0
2018-09-18,3.7,3.81,3.69,3.79,509739.0
2018-09-19,3.77,3.93,3.77,3.88,930159.0
2018-09-20,3.9,4.05,3.9,3.95,946631.0
2018-09-21,3.98,4.33,3.9,4.31,2081220.0
2018-09-25,4.2,4.26,4.11,4.2,1244613.0
2018-09-26,4.19,4.34,4.17,4.23,1491998.0
2018-09-27,4.21,4.25,4.14,4.23,736591.0
2018-09-28,4.22,4.42,4.21,4.34,1334490.0
2018-10-08,4.14,4.15,3.97,4.03,1373490.0
2018-10-09,4.01,4.05,3.91,4.0,728896.0
2018-10-10,4.0,4.08,3.94,4.04,701392.0
2018-10-11,3.79,3.95,3.74,3.78,1158285.0
2018-10-12,3.84,4.06,3.78,4.03,1172695.0
2018-10-15,4.02,4.03,3.88,3.91,739661.0
2018-10-16,3.92,4.05,3.89,3.96,930528.0
2018-10-17,4.03,4.05,3.87,3.93,873861.0
2018-10-18,3.92,3.95,3.79,3.83,914532.0
2018-10-19,3.8,4.1,3.77,4.08,1454340.0
2018-10-22,4.12,4.35,4.12,4.29,1751671.0
2018-10-23,4.25,4.29,4.01,4.06,1308065.0
2018-10-24,4.08,4.36,4.07,4.25,1292393.0
2018-10-25,4.1,4.35,4.08,4.34,1037360.0
2018-10-26,4.36,4.38,4.21,4.38,1033957.0
2018-10-29,4.38,4.42,4.12,4.18,1126481.0
2018-10-30,4.19,4.35,4.14,4.23,1062779.0
2018-10-31,4.25,4.28,4.16,4.25,697285.0
2018-11-01,4.27,4.3,4.16,4.19,867188.0
2018-11-02,4.27,4.32,4.16,4.27,1791928.0
2018-11-05,4.21,4.25,4.11,4.15,1118984.0
2018-11-06,4.14,4.14,4.04,4.1,739582.0
2018-11-07,4.09,4.14,4.05,4.07,726059.0
2018-11-08,4.11,4.17,4.05,4.07,799285.0
2018-11-09,3.95,3.95,3.76,3.82,2514211.0
2018-11-12,3.79,3.83,3.74,3.82,1103705.0
2018-11-13,3.76,3.87,3.75,3.82,877104.0
2018-11-14,3.81,3.82,3.7,3.72,1260124.0
2018-11-15,3.71,3.78,3.71,3.77,732604.0
2018-11-16,3.78,3.8,3.71,3.76,1029267.0
2018-11-19,3.77,3.87,3.76,3.86,1164225.0
2018-11-20,3.83,3.85,3.78,3.82,1028139.0
2018-11-21,3.79,3.82,3.77,3.82,472865.0
2018-11-22,3.82,3.82,3.77,3.79,386712.0
2018-11-23,3.78,3.82,3.71,3.75,757418.0
2018-11-26,3.76,3.84,3.74,3.79,759486.0
2018-11-27,3.8,3.82,3.74,3.76,392094.0
2018-11-28,3.76,3.79,3.75,3.79,421315.0
2018-11-29,3.82,3.82,3.72,3.73,496513.0
2018-11-30,3.74,3.75,3.7,3.75,475417.0
2018-12-03,3.86,3.9,3.79,3.87,1446479.0
2018-12-04,3.85,3.88,3.84,3.87,666293.0
2018-12-05,3.8,3.84,3.79,3.83,493030.0
2018-12-06,3.77,3.79,3.73,3.74,767072.0
2018-12-07,3.76,3.77,3.71,3.73,411198.0
2018-12-10,3.7,3.72,3.64,3.66,603977.0
2018-12-11,3.67,3.7,3.66,3.69,290350.0
2018-12-12,3.72,3.75,3.7,3.74,445532.0
2018-12-13,3.76,3.87,3.74,3.83,1059247.0
2018-12-14,3.8,3.85,3.71,3.71,1047393.0
2018-12-17,3.73,3.77,3.71,3.76,434323.0
2018-12-18,3.73,3.77,3.7,3.71,365733.0
2018-12-19,3.73,3.74,3.63,3.64,525001.0
2018-12-20,3.65,3.66,3.43,3.5,1143801.0
2018-12-21,3.46,3.46,3.3,3.4,864854.0
2018-12-24,3.37,3.41,3.33,3.4,409354.0
2018-12-25,3.34,3.42,3.3,3.38,610490.0
